1 1.311 0.0037253 0.863316 0.000844315 0.561832 0.0028835
2 1.34684 0.00548103 0.755516 0.00133631 0.403999 0.00414496
3 1.18651 0.00333542 0.709871 0.000878856 0.409179 0.00245658
4 1.13599 0.00308587 0.648405 0.000882541 0.345065 0.00220339
5 1.17542 0.00831722 0.531418 0.0068146 0.267666 0.00242539
6 1.09381 0.00323309 0.493371 0.00297222 0.250437 0.0010055
7 1.02675 0.00272845 0.465303 0.00272058 0.224193 0.000173831
8 1.12848 0.00835612 0.302961 0.007472 0.176788 0.00101114
9 1.00459 0.00314936 0.3562 0.00311583 0.150932 0.0000865389
10 1.02978 0.0037832 0.273135 0.00370511 0.122243 0.000102202
